PSM,TrainStation,University,Airport,Departmentstore,Hospital,Subdistrict,District,TotalUnits,BuildingAge,CarPark,CCTV,Fitness,Library,Swimmingpool,Security,MiniMart,ElectricalSubStation
156953.8889,0.2,0.4,16.32907429,0.5,0.4,Khwaeng Silom,Bang Rak,319,9,1,1,1,0,1,1,0,0
414053,0.1,1.1,16.32907429,0.3,0.4,Silom,Bang Rak,665,1,0,1,1,0,0,0,0,0
263357,0.1,0.2,16.32907429,0.8,0.6,Silom,Bang Rak,108,17,0,1,1,0,0,0,1,0
188879.6667,0.4,0.5,16.32907429,1.2,0.4,Silom,Bang Rak,562,13,0,1,1,0,1,1,0,0
228642.8,0.5,0.7,16.32907429,0.9,0.4,Silom,Bang Rak,268,4,0,1,1,0,0,1,0,0
96429,0.8,1,16.32907429,1.2,0.6,Si Phraya,Bang Rak,116,13,0,1,0,0,0,1,0,0
252296.9286,0.2,0.8,16.32907429,0.6,0.3,Si Phraya,Bang Rak,1180,6,1,1,1,0,1,1,0,0
342378.875,0.5,1.3,16.32907429,0.7,0.7,Silom,Bang Rak,187,6,1,1,1,0,0,1,0,0
150459.3333,0.4,1,16.32907429,0.8,0.4,Si Phraya,Bang Rak,206,9,1,1,1,0,0,1,0,0
148125.5,0.1,0.3,16.32907429,0.7,0.5,Silom,Bang Rak,69,10,0,0,0,0,0,0,0,0
198445,0.7,1.2,16.32907429,1.3,0.8,Si Phraya,Bang Rak,181,3,0,1,1,0,1,1,0,0
177600,0.5,1,16.32907429,1.1,0.7,Si Phraya,Bang Rak,774,1,0,1,1,0,1,1,0,0
130228.5,0.9,1.3,16.32907429,1.4,1,Si Phraya,Bang Rak,384,1,0,1,1,0,0,1,0,0
114286,0.4,0.9,16.32907429,0.7,0.3,Si Phraya,Bang Rak,52,13,0,0,0,0,0,1,0,0
143532,0.3,1,16.32907429,0.3,0.3,Silom,Bang Rak,469.7599049,12,0,0,1,0,1,1,0,0
200000,0.4,1.4,16.32907429,1.5,0.8,Maha Phrutharam,Bang Rak,499,2,1,1,1,0,0,0,0,1
200235.8,0.4,0.9,16.32907429,0.4,0.3,Silom,Bang Rak,75,19,0,1,1,0,1,1,0,0
96118.6,0.6,1,14.7,1.7,0.6,Bang Sue,Bang Sue,615,5,1,1,1,1,0,0,0,0
109200,0.7,1,14.7,1.8,0.7,Bang Sue,Bang Sue,386,4,1,1,1,1,0,0,0,0
74924,0.2,1.8,12.8,0.2,1.3,Wong Sawang,Bang Sue,743,9,1,1,1,0,1,1,0,0
79221.66667,0.3,2,13.5,1.1,1.5,Bang Sue,Bang Sue,527,9,1,1,1,1,0,1,0,0
84717.85714,0.1,1.7,12.9,0.3,1.4,Wong Sawang,Bang Sue,1287,6,1,1,1,1,0,0,1,0
56333,1.536896235,2.209948409,16.32907429,1.726724437,1.876157941,Wong Sawang,Bang Sue,803,11,0,1,0,0,1,1,0,0
69143,1.11,1.53,13.68,2.68,2.77,Bang Sue,Bang Sue,622,11,1,1,0,0,1,1,0,0
87740.8,1.42,1.17,14.71,1.88,1.73,Bang Sue,Bang Sue,773,7,0,1,1,0,0,0,0,0
157188.3333,2.16,0.82,15.04,1.14,1.19,Bang Sue,Bang Sue,950,11,0,1,1,0,1,1,0,0
66667,1.536896235,2.209948409,16.32907429,1.726724437,1.876157941,Bang Sue,Bang Sue,720,10,1,1,1,0,1,1,0,0
84624,1.16,1.33,14.52,2.15,2,Bang Sue,Bang Sue,735,10,0,1,1,0,1,1,0,0
119259,0.77,1.64,14.22,2.57,2.43,Bang Sue,Bang Sue,661,6,0,1,1,1,0,0,0,0
67781,1.73,1.78,12.95,3.07,3.36,Bang Sue,Bang Sue,1705,7,1,1,1,1,1,1,1,0
87998.8,2.14,2.02,12.55,1.58,3.71,Wong Sawang,Bang Sue,1319,7,1,1,1,1,0,0,0,0
98351.5,1.92,1.36,13.18,2.67,3.06,Bang Sue,Bang Sue,559,8,1,1,1,0,0,0,0,0
71765.5,2.45,2.19,12.29,3.4,3.95,Wong Sawang,Bang Sue,745,11,1,1,1,0,0,1,0,0
51001,2.1,1.2,13.26,2.5,2.96,Bang Sue,Bang Sue,4000,7,1,1,1,0,1,1,1,0
57883.6,2.98,1.97,10.19,4.98,3.66,Wong Sawang,Bang Sue,1395,12,0,1,1,1,1,1,1,0
68965,1.79,1.82,12.88,3.11,3.42,Bang Sue,Bang Sue,645,12,0,1,1,0,1,1,0,0
